Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_3        Lidocaine_mg_IntraOp_Total          1         8
MASTER_DATA_3        Oral_Morphine_Equiv_IntraOp_Tota    1         8
MASTER_DATA_3        ISO_Exp_IntraOp_Total               1         8
MASTER_DATA_3        ISO_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_3        ISO_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_3        ISO_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_3        SEV_Exp_IntraOp_Total               1         8
MASTER_DATA_3        SEV_Exp_IntraOp_MAC_Average         1         8
MASTER_DATA_3        SEV_Exp_IntraOp_MAC_Minutes_Tota    1         8
MASTER_DATA_3        SEV_Exp_IntraOp_MAC_Total           1         8
MASTER_DATA_3        ISO_SEV_Exp_IntraOp_MAC_Average     1         8
MASTER_DATA_3        Propofol_mg_1_7_Total               1         8
MASTER_DATA_3        Ketamine_mg_1_7_Total               1         8
MASTER_DATA_3        fentaNYL_SUBLIMAZE_mg__1_7_Total    1         8
MASTER_DATA_3        Sufentanil_mg__1_7_Total            1         8
MASTER_DATA_3        Hydromorphone_mg__1_7_Total         1         8
MASTER_DATA_3        Lidocaine_mg_1_7_Total              1         8
MASTER_DATA_3        Oral_Morphine_Equiv_Given__1_7_T    1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY1     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY2     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY3     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY4     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY5     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY6     1         8
MASTER_DATA_3        ORAL_MORPHINE_EQUIV_mg_POD_DAY7     1         8
MASTER_DATA_3        ICU_LOS_TOTAL_TIME_HOURS            1         8
MASTER_DATA_4        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_4        ENCRYPTED_MRN                       2        36
MASTER_DATA_4        ENCRYPTED_ENCOUNTER                 2        46
MASTER_DATA_4        rt_RM_START_to_INDUCTION_mins       1         8
MASTER_DATA_4        rt_RM_START_to_EMERGENCE_mins       1         8
MASTER_DATA_4        rt_ANCHOR_to_ADMIT_days             1         8
MASTER_DATA_4        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_4        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_4        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_4        rt_ADMIT_to_AN_END_mins             1         8
MASTER_DATA_4        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_4        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_4        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_4        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_4        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_4        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_4        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_4        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_4        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_4        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_4        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_4        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_4        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_4        Day_of_Week__CHAR_                  2         3
MASTER_DATA_4        Holidays                            2         1
MASTER_DATA_4        Weekend_Indicator                   2         1
MASTER_DATA_4        Age_at_Encounter                    1         8
MASTER_DATA_4        EmployeeStatus                      2        18
MASTER_DATA_4        Education                           2        19
MASTER_DATA_4        Race                                2        16
MASTER_DATA_4        Ethnicity                           2        15
MASTER_DATA_4        Sex                                 2         6
MASTER_DATA_4        Marital_Status                      2        22
MASTER_DATA_4        Admit_BMI                           1         8
MASTER_DATA_4        Service                             2        32
MASTER_DATA_4        Room_Type                           2        21
MASTER_DATA_4        ASA__Anesth_Record_                 1         8
MASTER_DATA_4        Emergent                            2         1
MASTER_DATA_4        Base_Procedure_1                    2       198
MASTER_DATA_4        Base_Procedure_Code_1               1         8
MASTER_DATA_4        CPT_1                               2         6
MASTER_DATA_4        CPT_1_Description                   2        75
MASTER_DATA_4        CPT1_Class                          1         8
MASTER_DATA_4        CPT1_Label                          2        96
MASTER_DATA_4        Patient_Type                        2        18
MASTER_DATA_4        LOS                                 1         8
MASTER_DATA_4        LOS_in_Hours                        1         8
MASTER_DATA_4        Payer                               2        12
MASTER_DATA_4        Charges                             1         8
MASTER_DATA_4        ICD10_Principal_Diagnosis_Desc      2        60
